school_id,school_name,avg_total_sat,avg_total_act
100751,"The University of Alabama",1105,27
100858,"Auburn University",1160,27
100937,"Birmingham-Southern College",1085,26
102049,"Samford University",1129,26
102234,"Spring Hill College",1095,25
106342,"Lyon College",1033,24
106397,"University of Arkansas",1115,26
107044,"Harding University",1100,25
107080,"Hendrix College",1230,29
107141,"John Brown University",1130,26
104151,"Arizona State University Campus Immersion",1150,25
110404,"California Institute of Technology",1555,35
110413,"California Lutheran University",1097,25
110422,"California Polytechnic State University-San Luis Obispo",1255,29
110635,"University of California-Berkeley",1405,33
110644,"University of California-Davis",1190,28
126614,"University of Colorado Boulder",1190,28
126775,"Colorado School of Mines",1335,31
126818,"Colorado State University-Fort Collins",1135,26
127060,"University of Denver",1210,29
128328,"United States Air Force Academy",1315,30
129020,"University of Connecticut",1230,29
130226,"Quinnipiac University",1085,25
130624,"United States Coast Guard Academy",1255,28
130794,"Yale University",1510,34
131159,"American University",1245,29
131469,"George Washington University",1285,30
131496,"Georgetown University",1420,32
130943,"University of Delaware",1170,26
133492,"Eckerd College",1105,25
133881,"Florida Institute of Technology",1160,27
134079,"Florida Southern College",1135,27
134097,"Florida State University",1195,27
134130,"University of Florida",1275,29
139144,"Berry College",1150,27
139393,"Covenant College",1175,27
139658,"Emory University",1395,32
139755,"Georgia Institute of Technology-Main Campus",1410,32
139861,"Georgia College & State University",1125,24
230047,"Brigham Young University-Hawaii",1066,24
153144,"Coe College",1145,25
153162,"Cornell College",1123,26
153269,"Drake University",1195,28
153384,"Grinnell College",1425,32
153658,"University of Iowa",1170,26
143358,"Bradley University",1100,25
144050,"University of Chicago",1525,34
145600,"University of Illinois Chicago",1113,24
145637,"University of Illinois Urbana-Champaign",1383,29
145646,"Illinois Wesleyan University",1265,27
150163,"Butler University",1164,28
150400,"DePauw University",1160,27
150534,"University of Evansville",1105,26
150677,"Grace College and Theological Seminary",1050,24
151351,"Indiana University-Bloomington",1175,27
154712,"Benedictine College",1063,25
156213,"Asbury University",1120,25
156286,"Bellarmine University",1070,25
156295,"Berea College",1110,25
156408,"Centre College",1210,29
157085,"University of Kentucky",1125,26
159391,"Louisiana State University and Agricultural & Mechanical College",1130,26
159656,"Loyola University New Orleans",1130,26
164465,"Amherst College",1458,33
164580,"Babson College",1270,29
164739,"Bentley University",1175,28
164924,"Boston College",1360,32
164988,"Boston University",1320,30
162928,"Johns Hopkins University",1485,33
163268,"University of Maryland-Baltimore County",1220,27
163286,"University of Maryland-College Park",1315,31
163295,"Maryland Institute College of Art",1155,25
163912,"St. Mary's College of Maryland",1125,26
161086,"Colby College",1371,32
168546,"Albion College",1045,23
169080,"Calvin University",1168,26
169983,"Kettering University",1230,27
170286,"Hillsdale College",1315,30
170301,"Hope College",1135,26
173160,"Bethel University",1127,25
173258,"Carleton College",1430,32
173452,"Martin Luther College",1230,24
173902,"Macalester College",1375,31
