student_id,SAT,GPA,city,state,major,college_name,importance_close_to_home,importance_school_reputation,importance_school_cost
1,1375,2.89,Stephanietown,MH,Biology,Colgate University,1,5,3
2,1130,2.76,North Desiree,AL,Psychology,Louisiana State University and Agricultural & Mechanical College,5,1,2
3,1195,3.64,Fordland,IA,Business,Drake University,5,2,2
4,1285,3.35,Kellyburgh,AR,Psychology,Denison University,3,3,1
5,1130,2.98,Gonzalesland,KY,Economics,John Brown University,2,4,5
6,1135,3.36,Larryberg,VI,Economics,Saint Anselm College,5,3,1
7,1285,3.36,New Markmouth,PA,Economics,George Washington University,1,2,1
8,996,3.81,Williamsbury,RI,Psychology,Freed-Hardeman University,1,2,2
9,1265,3.31,Knightmouth,MI,Economics,Rhodes College,1,4,5
10,1430,3.34,Port Samuel,OH,Engineering,Carleton College,3,1,5
11,1230,4.0,New David,NV,Business,University of Connecticut,5,1,5
12,1210,3.04,West Victor,GA,Economics,University of Denver,5,1,3
13,1125,3.97,Martinbury,SD,Nursing,Georgia College & State University,3,1,2
14,1335,2.69,Clarkeland,AK,Nursing,Colorado School of Mines,4,4,5
15,1230,4.0,Aimeeberg,HI,Art,Rutgers University-New Brunswick,2,2,1
16,1105,3.91,North Abigail,VT,Business,Montana Technological University,2,2,3
17,1490,3.73,Donnastad,OH,Computer Science,Rice University,1,3,2
18,1100,3.44,Oconnellborough,CT,Engineering,Harding University,4,2,5
19,1135,3.13,New Jonathan,NH,Computer Science,Colorado State University-Fort Collins,4,2,1
20,1190,3.1,Brookshaven,NE,Art,Elon University,1,1,4
21,1093,3.7,Garciastad,WI,Engineering,College of the Ozarks,5,2,1
22,1130,3.47,East Alisontown,PR,Nursing,Montana State University,2,3,3
23,1280,3.04,Port Calvintown,WY,Computer Science,Lewis & Clark College,4,4,4
24,1230,3.64,East Michelleside,GU,Economics,New Mexico Institute of Mining and Technology,5,1,2
25,1145,4.0,Kevinstad,HI,Nursing,University of North Carolina Asheville,2,2,4
26,1170,3.43,Daughertytown,AK,Biology,University of Iowa,1,5,1
27,1105,3.79,North Williamburgh,TX,Economics,Eckerd College,2,3,2
28,1410,3.16,Port Carlyville,AS,Computer Science,Georgia Institute of Technology-Main Campus,5,2,3
29,1230,3.15,Alexisside,GU,Computer Science,Martin Luther College,1,4,5
30,1190,3.23,Lisafort,UT,Nursing,University of Portland,3,5,1
31,1275,3.72,Lauramouth,CA,Art,University of Florida,1,4,2
32,1220,4.0,New Bradleyborough,OK,Business,University of Maryland-Baltimore County,1,1,5
33,996,3.35,Lake Michelle,MN,Engineering,Freed-Hardeman University,1,3,2
34,1265,2.97,New Samantha,MN,Art,Illinois Wesleyan University,1,3,3
35,1230,3.01,Morrisbury,OR,Biology,New Mexico Institute of Mining and Technology,5,4,5
36,1130,3.11,Lake Mario,CT,Psychology,Louisiana State University and Agricultural & Mechanical College,1,4,5
37,1145,4.0,Rasmussenfort,TX,Psychology,University of North Carolina Asheville,5,3,4
38,1180,3.41,West Colin,MP,Economics,Seattle University,2,5,5
39,1135,3.07,New Kevinshire,AS,Engineering,Appalachian State University,5,5,2
40,1485,2.83,West Michele,MO,Business,Johns Hopkins University,2,1,1
41,1160,2.88,West Kristinborough,MP,Psychology,Auburn University,2,5,4
42,1123,3.21,South Nicholasview,ND,Biology,Cornell College,1,2,5
43,1165,3.2,Morrishaven,PA,Engineering,Creighton University,3,4,2
44,1127,3.11,Port Amanda,CT,Business,Bethel University,3,2,5
45,1150,3.2,Austinhaven,VT,Art,Arizona State University Campus Immersion,1,1,2
46,1230,3.43,Cathyland,IL,Nursing,Rutgers University-New Brunswick,4,1,3
47,1315,3.57,East Pamela,SD,Psychology,University of Minnesota-Twin Cities,5,3,3
48,1210,3.62,Leemouth,MO,Art,Rhode Island School of Design,2,5,1
49,1155,3.11,North Jessicaview,KY,Biology,University of Missouri-Columbia,5,4,1
50,1155,3.3,Johnsonfurt,MO,Computer Science,George Mason University,5,5,4
51,1095,3.48,Rogerberg,CO,Computer Science,University of New Hampshire-Main Campus,3,5,3
52,1155,3.55,East Vickifurt,AZ,Biology,University of Missouri-Columbia,3,2,4
53,1135,3.23,Danielleton,GA,Engineering,Providence College,1,2,1
54,1090,3.07,Cannonchester,VI,Psychology,Nebraska Wesleyan University,2,1,3
55,1164,3.32,Hannahside,MH,Economics,Butler University,3,5,3
56,1210,2.85,Port Rose,OR,Art,University of Denver,5,5,2
57,1135,3.33,West Amyborough,OH,Economics,Saint Anselm College,1,5,4
58,1190,3.38,Lake Beckyshire,MA,Psychology,Elon University,5,4,2
59,1130,3.22,Sullivanshire,KS,Biology,John Brown University,1,4,2
60,1500,4.0,Taylorside,KS,Art,Columbia University in the City of New York,5,5,3
61,1145,2.69,Nguyentown,ND,Psychology,The University of Tennessee-Knoxville,3,1,2
62,1270,3.41,Lake Daniel,MH,Business,Brigham Young University,1,5,3
63,1210,3.28,New Barbaratown,NM,Art,Centre College,4,1,2
64,1475,3.59,Haneyberg,GA,Psychology,Duke University,5,2,5
65,1140,2.65,West Angelicaton,AK,Biology,Albany College of Pharmacy and Health Sciences,3,2,3
66,1425,3.62,Codyland,PA,Economics,Grinnell College,4,5,4
67,1050,2.92,East Richardview,TX,Engineering,Grace College and Theological Seminary,3,5,4
68,1135,3.66,North Tracybury,MI,Computer Science,Colorado State University-Fort Collins,4,2,2
69,1095,2.55,New Jennifer,OR,Nursing,Saint Norbert College,5,1,1
70,1465,3.21,New Alicia,VI,Economics,Carnegie Mellon University,4,2,4
71,1135,3.19,Alexborough,PR,Biology,Appalachian State University,4,2,1
72,1120,2.95,Port Haleyfurt,PA,Psychology,Asbury University,4,3,4
73,1145,3.37,East Jamesport,TN,Engineering,Coe College,1,3,2
74,1105,2.97,Martinton,NM,Psychology,Western Washington University,5,1,5
75,1360,3.46,South Stephanie,MP,Psychology,William & Mary,4,5,1
76,1090,3.35,Thomasbury,RI,Art,Nebraska Wesleyan University,3,2,3
77,1255,2.6,Teresafort,AR,Economics,United States Coast Guard Academy,3,1,2
78,1130,3.28,Martinezshire,FM,Art,University of Dayton,4,1,5
79,1470,3.8,Prestontown,GA,Art,Brown University,4,5,2
80,1375,3.83,New Kaitlinmouth,VA,Computer Science,Macalester College,2,4,3
81,1220,4.0,West Melissa,IA,Psychology,University of Maryland-Baltimore County,4,1,3
82,1165,2.9,Kristenville,MP,Art,South Dakota School of Mines and Technology,3,4,3
83,1123,3.41,Robertbury,VT,Art,Cornell College,2,5,3
84,1070,3.38,South Richardstad,CO,Business,Bellarmine University,2,1,1
85,1063,3.69,South Christopher,SD,Psychology,Benedictine College,2,3,1
86,1315,3.46,Joshuaborough,HI,Engineering,Hillsdale College,3,4,2
87,1255,2.86,Lake Nicholasstad,NE,Art,United States Coast Guard Academy,1,1,4
88,1475,2.87,Port Kristopher,MA,Psychology,Duke University,1,1,3
89,1045,3.33,Alvarezfort,MH,Psychology,Albion College,1,4,2
90,1200,3.69,Port Maxview,ND,Economics,University of Vermont,4,1,4
91,1190,3.32,West Amystad,MI,Nursing,Elon University,5,2,1
