STU_ID,P1TYPEPS,P1HIDEG2,S2TYPEPS2013,S3REPUTATION,X1PAR2EDU,X3TCREDAPIB,X1MOMEDU,X2PAR2EDU,X3TCREDAPMTH,X1DADEDU,P1HIDEG1,X3TAGPAWGT,X1PAR1EDU,S2FR4Y,X1SESQ5,X1SESQ5_U,X1PAREDU,X2DADEDU,X3THIMATH,X3TCREDGEN,X2MOMEDU,X2X1TXMSCR,X3WORK,X3THILANG,X2SESQ5_U,X3CLGANDWORK,X2TXMTH1,S2FR2YPUB,S3WORK,X2PAREDU,X3T1CREDCALC,X3THISCI,X2TXMTSCOR,X2TXMTH,X2REQLEVEL,X2TXMTH4,X2TXMSCR,X2TXMTH2,X1TXMSCR,S3CLGAPPNUM,X2TXMTH5,X2SESQ5,S3SOCIALLIFE,S2ANYAP,X1TXMTSCOR,S2PSATNUM,S3FOCUS,X3TCREDAPSS,X2PAR1EDU,X1TXMPROF4,X2TXMTH3,A2HIGHERED,X3TCREDAPENG,X3THIPHY,X3TCREDAPSCI,X2TXMPROF5,P1INCOMECAT,A1UNPREP,X2TXMPROF6,X1PAR2OCC2,X1FAMINCOME,S3CHOICEAPPCNTRL,A2PRNTINV,X3TCREDADV,S3CLGCNTRL,N1INVOLVEMNT,X3TGPAWGT,X3T1CREDPHYS,X2TXMPROF4,X3TCREDLANG,C2PCTAP,S2FRCLGEXAM,S2CANTAFFORD,S1PSAT,X1TXMPROF5,S2DEGREE2013,X1TXMPROF3,S2IMPACTIVITY,S2SUREBA,M1INVOLVEMNT,X3TCREDHON,X1TXMQUINT,undermatched
10002,3,2,3,1,2,0.0,3,2,0.0,2,3,4.0,3,2,2,2,3,2,6,27.0,4,49.471,1,8,2,1,1.0097,2,1,4,0,2,54.0863,1.0097,4,1.0097,72.4904,1.0097,35.8045,3,1.0097,2,2,2,47.6821,0,1,0.0,4,0.0582,1.0097,50,0.0,0,0.0,0.0664,3,3,0.022,51,3,2,2,0.0,2,4,4.0,0,0.2955,4.0,30,1,3,1,0.0512,3,0.1768,2,2,2,0.0,2,1
10004,3,-7,-8,-8,-7,6.5,0,4,0.0,0,4,4.5,4,-8,5,4,4,4,6,12.5,2,-8.0,-8,3,2,-8,-8.0,-8,-8,4,0,1,-8.0,-8.0,-8,-8.0,-8.0,-8.0,38.0888,-8,-8.0,2,-8,-8,49.269,-8,-8,2.0,2,0.0662,-8.0,50,2.0,1,0.0,-8.0,5,2,-8.0,-7,5,-8,3,5.0,-8,-9,4.5,1,-8.0,2.0,38,-8,-8,1,0.0531,-8,0.2459,-8,-8,-9,10.5,3,0
10010,4,2,3,-7,2,3.0,3,3,0.0,2,3,4.0,3,5,3,4,3,3,11,28.0,4,76.633,2,11,4,4,1.8431,5,2,4,0,5,61.4352,1.8431,5,1.8431,86.8286,1.8431,55.5463,4,1.8431,4,-7,2,63.7986,1,-7,0.0,4,0.6289,1.8431,80,0.0,0,1.5,0.5677,4,2,0.0577,15,4,-1,2,6.0,-7,1,4.0,0,0.8416,7.0,33,1,2,1,0.1865,4,0.9806,3,1,2,0.0,5,0
10012,3,7,3,1,7,2.0,7,7,1.0,7,7,4.0,7,4,5,5,7,7,13,23.5,7,83.0978,2,11,5,2,1.8587,0,2,7,1,3,61.5733,1.8587,5,1.8587,87.1006,1.8587,59.8627,5,1.8587,5,2,2,67.6823,2,1,0.0,7,0.8513,1.8587,100,0.0,1,0.0,0.5852,13,2,0.0594,19,13,-1,1,8.0,2,1,4.0,1,0.8477,7.0,43,3,3,1,0.3473,3,0.9961,1,1,1,0.0,5,0
10015,3,4,3,1,4,4.0,4,5,1.0,4,4,4.5,4,3,5,5,4,5,13,13.0,5,59.6163,2,6,5,2,0.9774,0,2,5,1,2,53.8011,0.9774,4,0.9774,71.9514,0.9774,43.4663,1,0.9774,5,1,1,53.4016,1,1,1.0,5,0.1077,0.9774,99,1.0,0,0.0,0.0627,11,1,0.0216,13,11,2,-4,3.0,2,2,4.5,0,0.2752,3.0,75,2,3,1,0.0622,3,0.526,2,2,1,16.0,4,0
10018,3,4,-7,1,4,0.0,4,5,0.0,7,7,4.0,7,5,5,5,7,7,8,28.0,5,76.9299,2,3,5,2,2.1713,5,2,7,0,2,64.3299,2.1713,4,2.1713,92.2431,2.1713,55.7519,2,2.1713,5,2,2,63.9808,1,1,0.0,7,0.642,2.1713,85,0.0,0,0.0,0.8624,4,2,0.1153,25,4,2,1,0.0,2,2,4.0,0,0.9347,2.0,-7,2,3,1,0.192,-7,0.982,2,1,-8,0.0,5,0
10037,2,3,3,1,3,1.0,3,4,0.0,3,3,4.5,3,3,4,5,3,4,7,14.0,4,74.9891,2,6,4,2,0.7955,1,2,4,0,1,52.1973,0.7955,4,0.7955,68.9147,0.7955,54.3978,2,0.7955,4,1,1,62.7847,0,1,1.0,4,0.5533,0.7955,80,0.0,0,0.0,0.0486,5,-8,0.0198,49,5,1,-9,1.0,1,-8,4.5,0,0.1808,3.0,15,2,3,1,0.1597,3,0.9709,1,1,-8,9.0,5,1
10039,3,4,3,1,4,4.5,4,5,1.0,4,4,4.0,4,2,5,5,4,5,13,25.5,5,79.5801,2,11,5,2,-1.406,2,2,5,1,5,32.784,-1.406,5,-1.406,32.2222,-1.406,57.5591,-9,-1.406,4,1,1,65.5911,1,1,1.5,5,0.748,-1.406,58,0.0,1,1.0,0.0323,6,-9,0.0159,49,6,-9,3,5.5,1,2,4.0,1,0.0272,3.0,40,4,2,1,0.2485,3,0.9907,2,1,2,0.0,5,0
10049,3,5,3,1,5,9.0,5,6,2.0,2,2,4.5,2,3,4,4,5,2,13,8.0,6,74.6197,2,5,4,2,2.7452,1,2,6,1,5,69.39,2.7452,5,2.7452,100.24,2.7452,54.1378,9,2.7452,4,3,1,62.5559,1,1,3.0,2,0.5359,2.7452,100,2.0,5,2.0,0.9921,6,1,0.4146,43,6,2,1,10.5,2,2,4.5,1,0.989,3.0,40,4,3,1,0.1544,3,0.9682,1,1,1,10.0,5,0
10059,-8,-8,3,1,-8,10.0,-8,5,2.0,-8,-8,4.5,-8,3,-8,-8,-8,5,13,10.0,5,-9.0,2,6,5,2,1.1614,1,2,5,1,5,55.4241,1.1614,4,1.1614,75.0257,1.1614,-8.0,3,1.1614,5,2,2,-8.0,1,1,3.0,5,-8.0,1.1614,70,2.0,0,2.0,0.0913,-8,2,0.0243,-8,-8,1,2,10.0,1,3,4.5,0,0.4021,3.0,25,4,4,-8,-8.0,3,-8.0,1,2,1,12.0,-8,0
10078,3,7,3,1,7,9.0,5,7,2.0,7,5,4.0,5,3,5,5,7,7,13,12.0,6,92.5939,2,11,5,2,2.3151,1,2,7,1,5,65.5973,2.3151,5,2.3151,94.3914,2.3151,65.5473,18,2.3151,5,1,1,73.529,3,1,3.0,6,0.973,2.3151,50,2.0,5,1.0,0.9282,13,4,0.1614,29,13,2,3,15.0,2,-8,4.0,1,0.9572,4.0,10,3,4,1,0.7181,3,0.9997,2,1,-8,0.0,5,0
10084,2,2,3,1,2,1.0,3,2,0.0,2,3,4.0,3,2,4,4,3,2,11,18.5,4,82.035,1,0,3,1,1.2116,1,1,4,0,5,55.8666,1.2116,3,1.2116,75.8686,1.2116,59.1788,1,1.2116,3,-9,1,67.0552,1,1,0.0,4,0.8246,1.2116,50,0.0,0,1.0,0.1032,3,2,0.0253,53,3,1,2,4.5,1,3,4.0,0,0.4402,0.0,35,3,3,3,0.3146,3,0.995,3,2,4,1.0,5,1
10112,3,4,3,2,4,9.0,5,5,3.0,0,5,4.5,5,3,5,5,5,5,13,7.5,6,97.9365,2,10,5,2,3.3081,1,2,6,1,5,74.3539,3.3081,5,3.3081,107.085,3.3081,68.127,8,3.3081,5,1,1,77.4288,2,1,2.0,6,0.992,3.3081,85,1.0,1,2.0,0.9996,8,1,0.8221,17,8,2,1,8.0,2,2,4.5,1,0.9984,4.0,20,3,2,3,0.8974,-9,0.9999,2,1,2,13.0,5,0
10131,3,5,3,1,5,10.0,2,6,2.0,5,2,4.5,2,5,5,4,5,6,13,7.5,2,95.4905,3,11,5,5,3.4697,5,3,6,1,5,75.7788,3.4697,4,3.4697,108.821,3.4697,67.0453,10,3.4697,5,2,1,75.5809,1,1,3.0,2,0.9857,3.4697,75,2.0,5,2.0,0.9999,6,2,0.8919,19,6,2,1,10.0,2,-8,4.5,1,0.9991,4.0,40,1,-9,2,0.827,4,0.9999,2,1,-8,6.5,5,0
10154,3,2,3,-7,2,4.0,2,2,1.0,2,2,4.5,2,2,4,4,2,2,11,13.5,2,68.5688,1,4,2,5,1.3064,3,1,2,0,1,56.7026,1.3064,4,1.3064,77.4716,1.3064,49.8262,0,1.3064,2,-7,1,58.7944,1,4,2.0,2,0.2801,1.3064,50,1.0,1,0.0,0.1328,3,2,0.0275,27,3,-7,3,4.0,-7,3,4.5,1,0.5134,2.0,-9,3,2,2,0.095,1,0.8761,2,2,4,10.0,4,0
10158,3,4,3,1,4,1.0,5,5,1.0,4,5,4.5,5,3,5,5,5,5,10,14.5,6,59.9033,1,3,5,1,1.2132,1,1,6,0,1,55.8804,1.2132,5,1.2132,75.895,1.2132,43.6711,3,1.2132,5,1,2,53.5701,2,1,0.0,6,0.1104,1.2132,72,0.0,1,0.0,0.1036,5,4,0.0253,49,5,2,2,1.0,2,3,4.5,1,0.4414,2.0,8,3,4,1,0.0627,3,0.5393,2,1,1,7.0,4,0
10166,3,4,3,-9,4,2.0,4,5,0.0,4,4,4.0,4,4,5,5,4,5,8,16.0,5,72.128,2,5,5,2,2.3942,5,2,5,0,2,66.2954,2.3942,4,2.3942,95.5238,2.3942,52.3705,1,2.3942,5,-9,1,61.0067,4,1,0.0,5,0.4203,2.3942,-9,2.0,0,0.0,0.951,5,-8,0.1946,29,5,1,4,3.0,1,-9,4.0,0,0.9663,2.0,1,3,3,3,0.1241,3,0.9426,1,1,-8,2.0,5,1
10170,3,4,3,1,4,9.0,2,5,2.0,4,2,4.5,2,3,4,4,4,5,13,13.0,2,75.4539,3,6,4,5,2.8227,1,3,5,1,5,70.0737,2.8227,5,2.8227,101.231,2.8227,54.724,3,2.8227,4,1,1,63.0721,1,1,4.0,2,0.575,2.8227,86,0.0,0,3.0,0.9948,3,3,0.4757,11,3,2,3,8.0,1,3,4.5,0,0.9915,3.0,30,3,4,1,0.1668,3,0.974,1,1,-9,11.0,5,0
